run,split,group,n,steps_mean,steps_median,steps_q75,cost_mean,cost_median,cost_q75,paper_steps_mean,paper_steps_median,paper_steps_q75,paper_turn_summary_exact
20240402_sweagent_gpt4,full,all_public_trajectories,2268,20.7526,19.0000,30.0000,2.4649,2.2513,4.0275,,,,
20240402_sweagent_gpt4,full,resolved,286,14.7098,12.0000,18.0000,1.5765,1.1796,1.9557,14.71,12.0,18.0,True
20240402_sweagent_gpt4,full,unresolved,1982,21.6246,21.0000,31.0000,2.5931,2.5355,4.0403,,,,
20240402_sweagent_gpt4,full,intentional_submit,1589,15.9484,14.0000,21.0000,1.7734,1.5322,2.4135,,,,
20240402_sweagent_gpt4,full,intentional_submit_resolved,266,13.3045,11.0000,17.0000,1.3891,1.1172,1.7727,,,,
20240402_sweagent_gpt4,full,intentional_submit_unresolved,1323,16.4800,15.0000,22.0000,1.8506,1.6254,2.5377,,,,
20240402_sweagent_claude3opus,full,all_public_trajectories,2013,18.2608,20.0000,23.0000,3.3524,4.0185,4.1231,,,,
20240402_sweagent_claude3opus,full,resolved,192,14.5833,14.0000,18.0000,2.5866,2.4351,3.4193,,,,
20240402_sweagent_claude3opus,full,unresolved,1821,18.6485,21.0000,23.0000,3.4331,4.0313,4.1310,,,,
20240402_sweagent_claude3opus,full,intentional_submit,882,13.5816,14.0000,17.0000,2.3755,2.3459,3.0201,,,,
20240402_sweagent_claude3opus,full,intentional_submit_resolved,157,13.0255,13.0000,16.0000,2.2483,2.1584,2.8160,,,,
20240402_sweagent_claude3opus,full,intentional_submit_unresolved,725,13.7021,14.0000,17.0000,2.4031,2.3885,3.0522,,,,
20240402_sweagent_gpt4,lite,all_public_trajectories,300,21.4167,20.0000,32.0000,2.5072,2.2920,4.0455,,,,
20240402_sweagent_gpt4,lite,resolved,54,15.1852,13.0000,18.0000,1.6408,1.2464,1.8916,,,,
20240402_sweagent_gpt4,lite,unresolved,246,22.7846,23.5000,32.0000,2.6973,2.5872,4.0552,,,,
20240402_sweagent_gpt4,lite,intentional_submit,203,16.0345,15.0000,20.0000,1.7522,1.5165,2.3294,,,,
20240402_sweagent_gpt4,lite,intentional_submit_resolved,50,13.7400,12.0000,17.0000,1.4447,1.2276,1.8142,,,,
20240402_sweagent_gpt4,lite,intentional_submit_unresolved,153,16.7843,15.0000,22.0000,1.8527,1.6031,2.4135,,,,
20240402_sweagent_claude3opus,lite,all_public_trajectories,300,17.0733,18.0000,20.0000,3.4195,4.0243,4.1612,,,,
20240402_sweagent_claude3opus,lite,resolved,35,12.7143,13.0000,15.0000,2.3648,2.2255,2.8871,12.71,13.0,15.0,True
20240402_sweagent_claude3opus,lite,unresolved,265,17.6491,19.0000,21.0000,3.5588,4.0581,4.1722,,,,
20240402_sweagent_claude3opus,lite,intentional_submit,133,13.4737,13.0000,16.0000,2.4887,2.4841,3.2541,,,,
20240402_sweagent_claude3opus,lite,intentional_submit_resolved,32,12.1875,13.0000,14.2500,2.1909,2.1699,2.7038,,,,
20240402_sweagent_claude3opus,lite,intentional_submit_unresolved,101,13.8812,14.0000,17.0000,2.5831,2.6565,3.3261,,,,
